,event,ts
0,start_schema_check,1681350002.3037255
1,end_schema_check,1681350007.3217463
2,adding 1/10000,1681350007.3219109
3,added 1/10000,1681350007.322033
4,adding 1001/10000,1681350010.6119092
5,added 1001/10000,1681350010.6120002
6,adding 2001/10000,1681350013.7668085
7,added 2001/10000,1681350013.7668881
8,adding 3001/10000,1681350016.7864823
9,added 3001/10000,1681350016.7865345
10,adding 4001/10000,1681350019.955367
11,added 4001/10000,1681350019.9554617
12,adding 5001/10000,1681350023.1266665
13,added 5001/10000,1681350023.1267512
14,adding 6001/10000,1681350026.3023956
15,added 6001/10000,1681350026.3024883
16,adding 7001/10000,1681350029.4270651
17,added 7001/10000,1681350029.4271505
18,adding 8001/10000,1681350032.6104598
19,added 8001/10000,1681350032.6105444
20,adding 9001/10000,1681350035.7421389
21,added 9001/10000,1681350035.7422302
22,done all 10000,1681350038.8638003
23,import verified 10000,1681350038.8728018
