,event,ts
0,start_schema_check,1680756829.3669667
1,end_schema_check,1680756829.3859575
2,adding 1/10000,1680756829.3860207
3,added 1/10000,1680756829.393808
4,adding 1001/10000,1680756836.4438586
5,added 1001/10000,1680756836.4506352
6,adding 2001/10000,1680756843.7986116
7,added 2001/10000,1680756843.8055444
8,adding 3001/10000,1680756851.1258624
9,added 3001/10000,1680756851.1337383
10,adding 4001/10000,1680756858.2992482
11,added 4001/10000,1680756858.3067682
12,adding 5001/10000,1680756865.3140075
13,added 5001/10000,1680756865.3219297
14,adding 6001/10000,1680756872.4870884
15,added 6001/10000,1680756872.493041
16,adding 7001/10000,1680756879.3186026
17,added 7001/10000,1680756879.3249536
18,adding 8001/10000,1680756886.1472077
19,added 8001/10000,1680756886.1539083
20,adding 9001/10000,1680756892.7376237
21,added 9001/10000,1680756892.7438931
22,done all 10000,1680756899.3424635
23,import verified 10000,1680756899.3502007
