,event,ts
0,start_schema_check,1680757106.4841943
1,end_schema_check,1680757106.5038223
2,adding 1/10000,1680757106.503913
3,added 1/10000,1680757106.5146933
4,adding 1001/10000,1680757113.0802553
5,added 1001/10000,1680757113.086503
6,adding 2001/10000,1680757119.5857153
7,added 2001/10000,1680757119.5923634
8,adding 3001/10000,1680757126.1386013
9,added 3001/10000,1680757126.1449966
10,adding 4001/10000,1680757132.8553
11,added 4001/10000,1680757132.8616238
12,adding 5001/10000,1680757139.379466
13,added 5001/10000,1680757139.385458
14,adding 6001/10000,1680757146.5627513
15,added 6001/10000,1680757146.5689454
16,adding 7001/10000,1680757153.7435277
17,added 7001/10000,1680757153.7499788
18,adding 8001/10000,1680757160.558585
19,added 8001/10000,1680757160.565115
20,adding 9001/10000,1680757167.1852434
21,added 9001/10000,1680757167.192145
22,done all 10000,1680757173.7106097
23,import verified 10000,1680757173.718202
