,event,ts
0,start_schema_check,1680759076.6943707
1,end_schema_check,1680759076.709884
2,adding 1/10000,1680759076.7099376
3,added 1/10000,1680759076.7179506
4,adding 1001/10000,1680759084.6452594
5,added 1001/10000,1680759084.6534986
6,adding 2001/10000,1680759092.5753083
7,added 2001/10000,1680759092.5826857
8,adding 3001/10000,1680759100.5749185
9,added 3001/10000,1680759100.5830026
10,adding 4001/10000,1680759108.4674444
11,added 4001/10000,1680759108.476723
12,adding 5001/10000,1680759116.5576491
13,added 5001/10000,1680759116.565546
14,adding 6001/10000,1680759124.541485
15,added 6001/10000,1680759124.54909
16,adding 7001/10000,1680759132.9370809
17,added 7001/10000,1680759132.9448056
18,adding 8001/10000,1680759141.0416365
19,added 8001/10000,1680759141.0488808
20,adding 9001/10000,1680759149.160512
21,added 9001/10000,1680759149.168899
22,done all 10000,1680759157.138959
23,import verified 10000,1680759157.166083
