,event,ts
0,start_schema_check,1680759925.469191
1,end_schema_check,1680759925.484248
2,adding 1/10000,1680759925.4843009
3,added 1/10000,1680759925.4931493
4,adding 1001/10000,1680759933.4320548
5,added 1001/10000,1680759933.4402156
6,adding 2001/10000,1680759941.4868238
7,added 2001/10000,1680759941.4946964
8,adding 3001/10000,1680759949.5626988
9,added 3001/10000,1680759949.5700977
10,adding 4001/10000,1680759957.5641785
11,added 4001/10000,1680759957.5717747
12,adding 5001/10000,1680759965.5203176
13,added 5001/10000,1680759965.5283096
14,adding 6001/10000,1680759973.5943084
15,added 6001/10000,1680759973.6023128
16,adding 7001/10000,1680759981.799618
17,added 7001/10000,1680759981.807303
18,adding 8001/10000,1680759989.7812862
19,added 8001/10000,1680759989.791032
20,adding 9001/10000,1680759997.8422272
21,added 9001/10000,1680759997.8496315
22,done all 10000,1680760006.1769514
23,import verified 10000,1680760006.1838028
