,qidx,recall,searchTime,host,gt_file,dset_size,argsn,vectorindex
0,0,0.5,40704874,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
1,1,0.5,39629497,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
2,2,1.0,40596205,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
3,3,0.7,41022253,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
4,4,0.8,40318486,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
5,5,1.0,40110054,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
6,6,0.9,41094765,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
7,7,1.0,39973650,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
8,8,0.7,40056486,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
9,9,1.0,38977876,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
10,10,0.7,39996006,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
11,11,1.0,39118621,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
12,12,0.9,39815025,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
13,13,0.9,39999180,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
14,14,0.6,39871993,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
15,15,0.7,40001115,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
16,16,1.0,39823643,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
17,17,0.9,40484111,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
18,18,1.0,39977533,sv7-apu12,/mnt/nas1/fvs_benchmark_datasets/deep-20M-gt-1000.npy,20000000,20M,gemini
