,event,ts
0,start train,1680757853.2442803
1,before query,1680757853.2442856
2,async try again,1680757853.2935948
3,before query,1680757855.2957609
4,async try again,1680757855.3118756
5,before query,1680757857.3140566
6,async try again,1680757857.3292284
7,before query,1680757859.3313396
8,async try again,1680757859.347894
9,before query,1680757861.3500757
10,async try again,1680757861.3677294
11,before query,1680757863.369911
12,async try again,1680757863.3873322
13,before query,1680757865.389521
14,async try again,1680757865.4055817
15,before query,1680757867.4077654
16,async try again,1680757867.4256055
17,before query,1680757869.4277906
18,async try again,1680757869.4440467
19,before query,1680757871.4462361
20,async try again,1680757871.463596
21,before query,1680757873.4657524
22,async try again,1680757873.4823067
23,before query,1680757875.4844832
24,async try again,1680757875.5015163
25,before query,1680757877.503717
26,async try again,1680757877.5213053
27,before query,1680757879.5223057
28,async try again,1680757879.5361378
29,before query,1680757881.5383477
30,async try again,1680757881.5563364
31,before query,1680757883.558468
32,async try again,1680757883.576249
33,before query,1680757885.578434
34,async try again,1680757885.7426345
35,before query,1680757887.7447448
36,query sucess,1680757887.7670045
37,end train,1680757887.7670844
