,qidx,recall,searchTime,host,gt_file,dset_size,argsn,vectorindex
0,0,0.9,2095512,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
1,1,0.9,3228637,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
2,2,1.0,2642382,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
3,3,1.0,1980694,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
4,4,1.0,2849318,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
5,5,1.0,1908624,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
6,6,1.0,1135332,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
7,7,1.0,2476196,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
8,8,1.0,3009449,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
9,9,1.0,3498831,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
10,10,1.0,3877709,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
11,11,1.0,2367283,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
12,12,1.0,3001291,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
13,13,1.0,2824445,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
14,14,1.0,3894921,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
15,15,1.0,2677812,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
16,16,1.0,1505933,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
17,17,1.0,1772127,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
18,18,1.0,2060249,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-5M-gt-1000.npy,5000000,5M,hnsw
